Player Name,Country,Role,Base_Price,Selling_Price,Team,Bid,Team_ID
Dominic Drakes,West Indies,ALL-ROUNDER,7500000,11000000,Gujarat Titans,SOLD,GT
Mohammad Nabi,Afghanistan,ALL-ROUNDER,10000000,10000000,Kolkata Knight Riders,SOLD,KKR
Ajinkya Rahane,India,BATSMAN,10000000,10000000,Kolkata Knight Riders,SOLD,KKR
Devon Conway,New Zealand,BATSMAN,10000000,10000000,Chennai Super Kings,SOLD,CSK
Rassie Van Der Dussen,South Africa,BATSMAN,10000000,10000000,Rajasthan Royals,SOLD,RR
Sherfane Rutherford,West Indies,ALL-ROUNDER,10000000,10000000,Royal Challengers Bangalore,SOLD,RCB
Riley Meredith,Australia,BOWLER,10000000,10000000,Mumbai Indians,SOLD,MI
Atharva Ankolekar,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Tanay Thyagarajan,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Saurabh Kumar,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Shams Mulani,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Dhruv Patel,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Atit Sheth,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Utkarsh Singh,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Baba Aparajith,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Prayas Barman,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Yudhvir Charak,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Shubhang Hegde,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Roosh Kalaria,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Tanush Kotian,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Kaushal Tambe,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Shivank Vashisth,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Akshay Karnewar,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Suyash Kumar,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Abid Mushtaq,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Lone Muzaffar,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
Ninad Rathva,India,ALL-ROUNDER,2000000,0,N.A.,UNSOLD,N.A.
